s_adj,age,sex,unit,geo\time	2016M10 	2016M11 	2016M12 	2017M01 	2017M02 	2017M03 	2017M04 	2017M05 	2017M06 	2017M07 	2017M08 	2017M09 
SA,TOTAL,F,PC_ACT,AT	5.5 	5.2 	5.1 	5.1 	5.1 	5.1 	5.1 	5.0 	4.9 	4.8 	4.9 	5.0 
SA,TOTAL,F,PC_ACT,BE	6.6 	6.6 	6.9 	7.7 b	8.1 	8.0 	7.6 	7.3 	7.2 	7.2 	7.2 	7.0 
SA,TOTAL,F,PC_ACT,BG	6.5 	6.3 	6.4 	6.6 	6.6 	6.3 	5.9 	5.7 	5.7 	5.7 	5.7 	5.7 
SA,TOTAL,F,PC_ACT,CY	13.7 	14.5 	14.3 	13.3 	12.8 	12.4 	12.0 	11.9 	11.6 	11.5 	11.5 	11.2 
SA,TOTAL,F,PC_ACT,CZ	4.3 	4.3 	4.1 	4.2 	4.2 	4.4 	4.3 	3.7 	3.5 	3.4 	3.3 	3.3 
SA,TOTAL,F,PC_ACT,DE	3.5 	3.4 	3.4 	3.4 	3.4 	3.4 	3.4 	3.4 	3.3 	3.2 	3.2 	3.1 
SA,TOTAL,F,PC_ACT,DK	6.9 	6.7 	6.4 	6.4 	6.2 	5.9 	5.8 	6.0 	5.9 	6.0 	5.9 	6.0 
SA,TOTAL,F,PC_ACT,EA	10.0 	10.0 	10.0 	10.0 	9.9 	9.8 	9.7 	9.6 	9.4 	9.4 	9.3 	9.3 
SA,TOTAL,F,PC_ACT,EA18	10.1 	10.1 	10.0 	10.0 	9.9 	9.8 	9.7 	9.6 	9.5 	9.5 	9.4 	9.3 
SA,TOTAL,F,PC_ACT,EA19	10.0 	10.0 	10.0 	10.0 	9.9 	9.8 	9.7 	9.6 	9.4 	9.4 	9.3 	9.3 
SA,TOTAL,F,PC_ACT,EE	6.5 	6.0 	6.4 	5.9 	5.5 	5.2 	5.8 	6.2 	5.4 	5.0 	4.4 	: 
SA,TOTAL,F,PC_ACT,EL	28.1 	28.0 	28.0 	27.5 	27.0 	26.5 	26.2 	26.0 	25.5 	25.3 	: 	: 
